EventName,Division,StartDate,EndDate,Time,Venue,Address,City,State,Zip,Category,EventType,PrizeMoney,EntryFee,Runs,Description,Website,Phone,Email,SourceImage,DateExtracted,TeamRopingAI
4D Arena Saturday Breakaway,Open Breakaway,Saturday,Saturday,"Books Close at 10:30 AM, Rope at 11:00 AM",4D Arena,23465 W Patton Rd,Wittmann,AZ,85361,Breakaway,Jackpot,,$120,Enter 4x max,Open Breakaway every Saturday. 3 Head Progressive. Bell Collar Catch Only. Starts with the Open. March 14th will be $200/run in the Open. Cash Only. All ropings are 2/3rd payback unless specified. Ropings nominated for WCRA. Sponsored by Roping Finder & Akins Trailer Sales.,,(719) 539-5507,,645757754_950014267692249_3872782235165094531_n.jpg,2026-03-04,NO
TRU Roping Cinco De Mayo 40+ King Ranch Truck Roping,#10.5 Warm Up Roping,05/02/2026,05/02/2026,"Enter at 5:00 PM, Rope at 6:00 PM",Corral Arena,1901 E. Stanolind Rd.,Hobbs,NM,,Team Roping,Jackpot,,$200/roper,4 Steer PA 1 Capped at 6,"40+ Warm Up Roping. 80% Payback. Age Limit: Men 40 & Over, Ladies 21 & Over anytime in 2026. Pick or Draw. Cash or Credit Card (3% fee applies). Current Coggins required. WSTR barrier used all weekend. Current Global, WSTR, USTRC, Key Card or Card Max membership required. Produced by Jerry Trujillo. Cattle provided by Team Taylor.",,(575) 356-8412,,645425934_1970363136923879_4872989542901122301_n.jpg,2026-03-04,YES
TRU Roping Cinco De Mayo 40+ King Ranch Truck Roping,#9.5 Truck Roping,05/03/2026,05/03/2026,Rope at Noon,Corral Arena,1901 E. Stanolind Rd.,Hobbs,NM,,Team Roping,Added Money,"$100,000 payout based on 300 entries",$500/roper,Enter up to 4x,"PRE-ENTRY ONLY. Call-ins April 27 at 9 AM CST. Limited to 320 total teams. 4 Head Progressive after 1st steer. Top 30 to Short Round. Slow back WS Barrier. Capped at 5.5. Men 40 & Over, Ladies 21 & Over anytime in 2026. Prize Line: Fully Loaded F-350 4x4 King Ranch Diesel Dually Truck to Hi-Point Roper (guaranteed no matter how many teams), 2 Draggin S Trophy Saddles, 2 Maynard Buckles to average winners, plus cash. 3% credit card fee. Global Handicaps Only.",www.wstroping.com,(575) 356-8412,,645425934_1970363136923879_4872989542901122301_n.jpg,2026-03-04,YES
Original Team Roping Levelland,#3.5 Slide,04/11/2026,04/11/2026,"Books Open 8AM, Rope 9AM",Mallet Event Center,,Levelland,TX,,Team Roping,Jackpot,,$60/man,Enter up to 10x,All Picks or Use Draw Option. 4 Head Progressive after 1. Stock Charge 40%. Membership Required - Sold on Site.,,(806) 438-8173,,645474841_934819032254142_6455709178338772811_n.jpg,2026-03-04,YES
Original Team Roping Levelland District Finals,#3.5 Slide,05/02/2026,05/02/2026,"Books Open 8AM, Rope 9AM",Mallet Event Center,,Levelland,TX,,Team Roping,Jackpot,,$60/man,Enter up to 10x,District Finals. 4 Head Progressive after 1. Stock Charge 40%. Membership Required. Prize to High Money Winner of the Day. Buckles & more to qualified winners.,,(806) 438-8173,,645474841_934819032254142_6455709178338772811_n.jpg,2026-03-04,YES
3L Classic Jackpot Wednesday,Open Breakaway,Wednesday,Wednesday,"Books Open at 5:30 PM, Starts at 6:00 PM",3L Classic,2430 Temple Hall Hwy,Granbury,TX,76049,Breakaway,Jackpot,,2 for $150,Enter 2x,Every Wednesday in March. Breakaway followed by Tie Down. Handicap - .25 seconds off each run. $10 Office Charge Included. Stock Charges $30 each or 5 for $125. Score for $15. Please pre-enter by noon. Cash Only. Food Truck on Site. The American Rodeo Contender Tournament March 4th & 11th. Walk-ups available.,,(817) 279-2941,,645474856_122262593018034993_4672961085429336546_n.jpg,2026-03-04,NO
Cowboy Legends Calf Roping,Calf Roping,05/15/2026,11/22/2026,,Park Your Pony Arena / Young County Arena,,Stephenville / Graham,TX,,Tie Down,Jackpot,,,,"2026 Season: May 15-17 (Park Your Pony Arena Stephenville), Jun 19-21 (Young County Arena Graham), Jul 17-19 (Park Your Pony Arena Stephenville), Aug 21-23 (Park Your Pony Arena Stephenville), Sep 11-13 (Park Your Pony Arena Stephenville), Oct 2-4 (Park Your Pony Arena Stephenville), Oct 30-Nov 1 (Park Your Pony Arena Stephenville), Nov 20-22 (Park Your Pony Arena Stephenville). Proud supporters of the Tarleton Rodeo Team.",CowboyLegendsCalfRoping.com,,,646370053_866047546464212_8148933349041710640_n.jpg,2026-03-04,NO
The Desert Crown Youth Rodeo,Youth Rodeo,10/30/2026,11/01/2026,,Buckeye Equestrian & Events Center,10300 S Miller Rd,Buckeye,AZ,85326,Rodeo,Rodeo,,,,Presented by Paloma Ready Mix & Materials. Arizona High School Rodeo Association.,buckeyearena.com,,,646860369_1564401359021032_4674146119608604638_n.jpg,2026-03-04,NO
2nd Annual ETX Baddest,#14,05/23/2026,05/23/2026,"Books Open 8AM, Close 9AM, Starts at 9:30 AM",Henderson County Fair Park,3356 TX-31 Bus,Athens,TX,75751,Team Roping,Added Money,$5K Added,$300/man,Enter 3x,"4HD/PA1. 80% Payback. Buckles to Average Winners. $30K Total Added across event. 2 Arenas Sat & Sun. Negative Coggins Required. Cowboy Dress Code - Collard Shirt, Cowboy Hat or ETX Baddest Ball Cap. Presented by Holiday Auto Group.",,(214) 263-1722,,644042915_122103628137274555_202552634640484420_n.jpg,2026-03-04,YES
2nd Annual ETX Baddest,#10 Business Man (6.5 Cap),05/24/2026,05/24/2026,Starts at 9:30 AM,Henderson County Fair Park,3356 TX-31 Bus,Athens,TX,75751,Team Roping,Added Money,$2.5K Added,$300/man,Enter 3x,4HD/PA1. Must be 21+. Buckles to Average Winners. Negative Coggins Required. Cowboy Dress Code.,,(214) 263-1722,,644042915_122103628137274555_202552634640484420_n.jpg,2026-03-04,YES
2nd Annual ETX Baddest,Open to the World,05/25/2026,05/25/2026,Starts at 9:30 AM,Henderson County Fair Park,3356 TX-31 Bus,Athens,TX,75751,Team Roping,Added Money,$5K Added,$500/man,Enter 2x,5HD/PA1. 90% Payback. Negative Coggins Required. Cowboy Dress Code.,,(214) 263-1722,,644042915_122103628137274555_202552634640484420_n.jpg,2026-03-04,YES
Cowboy Church of Tarrant County Roping Lessons,Roping Lessons,Sunday,Sunday,1:00 PM,Cowboy Church of Tarrant County Arena,1685 Lacy Dr,Fort Worth,TX,76177,Lessons,Lessons,,,,4th Sunday of Every Month. Boots are required in the arena for all activities.,,,,,2026-03-04,NO
Wild Horse Prairie Days Ranch Rodeo,Ranch Rodeo,06/06/2026,06/07/2026,,Wild Horse Prairie Days,,Haskell,TX,,Ranch,Rodeo,,,,WRCA Sanctioned Ranch Rodeo. WRCA Sanctioned Ranch Rodeo of the Year 2019. American Quarter Horse Association. First Weekend in June (Jun 6-7 2026).,,,,,2026-03-04,NO
KRRA Roping,Team Roping,04/18/2026,04/18/2026,"Check-In at 9:00 AM, Roping starts at 10:00 AM",Haselwood Arena,2901 N Dike Rd,Augusta,KS,67010,Team Roping,Jackpot,,,,KRRA. New Ropers Always Welcome.,,,,,2026-03-04,YES
2nd Annual TR Frost Memorial,#13.5 Slide,04/04/2026,04/04/2026,"Books Open 8:00 AM, Close 9:00 AM SHARP",Gila County Fair Grounds,,Globe,AZ,,Team Roping,Jackpot,,$150,Enter 3x,4 Steer. P1D1 or D2. HCAP Up/Down. 1 sec/Number Max 6 sec. 70% Payback. Buckles 1st-5th. Silent Auction on site - all proceeds fund the 2 TR Frost Memorial Scholarships. Flag on the Heels. Cash Only - No Checks. Cain's Backyard BBQ provided by Jonna Randall Murdock of Farm Bureau Insurance. Velazquez Productions. Stalls/RV info: 928-200-1672.,,(928) 243-0598,,621579416_10227243174898318_7391156014666979966_n.jpg,2026-03-04,YES
Still Waters Cowboy Church Team Roping,#9.5 / 5E Cap,04/17/2026,04/17/2026,"Books Open 6:30 PM, Close 7:15 PM, Rope 7:30 PM sharp",Still Waters Cowboy Church,,,,,,Jackpot,,$150,,Pick 1 Draw 2 or Draw All 3. 4 Head Progressive. 100% Payout after Secretary Fee and Stock Charge. Buckles to winners. Cash Only. WS/US Classifications with Elites Used. World Series Barrier. Outdoor arena - call before you haul.,,(903) 702-2158,,634441246_1336368551853348_577382348748868378_n.jpg,2026-03-04,YES
Still Waters Cowboy Church Team Roping,#9.5 / 5E Cap,05/16/2026,05/16/2026,"Books Open 1:00 PM, Close 1:45 PM, Rope 2:00 PM sharp",Still Waters Cowboy Church,,,,,,Jackpot,,$150,,Pick 1 Draw 2 or Draw All 3. 4 Head Progressive. 100% Payout after Secretary Fee and Stock Charge. Buckles to winners. Cash Only. WS/US Classifications with Elites Used. World Series Barrier. Outdoor arena - call before you haul.,,(903) 702-2158,,638074808_1338729658283904_919113350286728358_n.jpg,2026-03-04,YES
Still Waters Cowboy Church Team Roping,#9.5 / 5E Cap,06/20/2026,06/20/2026,"Books Open 1:00 PM, Close 1:45 PM, Rope 2:00 PM sharp",Still Waters Cowboy Church,,,,,,Jackpot,,$150,,Pick 1 Draw 2 or Draw All 3. 4 Head Progressive. 100% Payout after Secretary Fee and Stock Charge. Buckles to winners. Cash Only. WS/US Classifications with Elites Used. World Series Barrier. Outdoor arena - call before you haul.,,(903) 702-2158,,638074808_1338729658283904_919113350286728358_n.jpg,2026-03-04,YES
2026 ACTRA National Finals,Ladies Breakaway/All Girl/Handicap Muley,10/17/2026,10/17/2026,,Rope Smart Arena,,Reno,NV,,Team Roping,Championship,$200+,$75-$200,Enter 4x (2x breakaway),Saturday: Ladies Breakaway 3 for $200; All Girl 4 for $75; Handicap Muley 4 for $75. Enter each roping 4x except breakaway (2x). Cattle charge 33% most ropings. Must be 2026 ACTRA member.,www.actra.org,,,620866612_17950485168081030_5495113013297114303_n.jpg,03/08/2026,Yes
2026 ACTRA National Finals,#10.5 Handicap/Mixed Handicap/Open Roping,10/18/2026,10/18/2026,,Rope Smart Arena,,Reno,NV,,Team Roping,Championship,$200+,$75-$200,Enter 4x,Sunday: #10 1/2 Handicap 4 for $75; Mixed Handicap 4 for $75; Open Roping 5 for $200. Enter each roping 4x. Cattle charge 33% most ropings.,www.actra.org,,,620866612_17950485168081030_5495113013297114303_n.jpg,03/08/2026,Yes
2026 ACTRA National Finals,#9 Hdcp Down/#Century Handicap/#8.5,10/19/2026,10/19/2026,,Rope Smart Arena,,Reno,NV,,Team Roping,Championship,$300+,$75-$300,Enter 4x,Monday: RopeSmart Big Bucks #9 Hdcp Down 4 for $300; Century Handicap w/#5 1/2 Incentive 4 for $75; #8 1/2 Roping 4 for $75.,www.actra.org,,,620866612_17950485168081030_5495113013297114303_n.jpg,03/08/2026,Yes
2026 ACTRA National Finals,Gene Aguiar Scholarship/#6.5 Over 40,10/20/2026,10/20/2026,,Rope Smart Arena,,Reno,NV,,Team Roping,Championship,$200+,$60-$200,Enter 4x,Tuesday: Gene Aguiar Scholarship Roping 3 for $60; #6 1/2 Over 40 Handicap Down 4 for $200; American Elite Rope Horse Sale; Member Reception at Silver Legacy 6:00pm.,www.actra.org,,,620866612_17950485168081030_5495113013297114303_n.jpg,03/08/2026,Yes
2026 ACTRA National Finals,Super 7 Hdcp Down/#4.5 Over 40,10/21/2026,10/21/2026,,Rope Smart Arena,,Reno,NV,,Team Roping,Championship,$150+,$75-$150,5 head,Wednesday: California Custom Super 7 Hdcp Down 5 for $150; Scott Thomas Saddles #4 1/2 Over 40 4 for $75.,www.actra.org,,,620866612_17950485168081030_5495113013297114303_n.jpg,03/08/2026,Yes
2026 ACTRA National Finals,#5.5 Roping,10/22/2026,10/22/2026,,Rope Smart Arena,,Reno,NV,,Team Roping,Championship,$75+,$75,4 head,Thursday: #5 1/2 Roping 4 for $75.,www.actra.org,,,620866612_17950485168081030_5495113013297114303_n.jpg,03/08/2026,Yes
2026 ACTRA National Finals,#4 Roping/Youth Dummy,10/23/2026,10/23/2026,,Rope Smart Arena,,Reno,NV,,Team Roping,Championship,$75+,$75,4 head,Friday: Red River Arena #4 Roping 4 for $75; Youth & Significant Other Dummy Roping. Dummy roping at 12:00pm.,www.actra.org,,,620866612_17950485168081030_5495113013297114303_n.jpg,03/08/2026,Yes
2026 ACTRA National Finals,#3 Roping,10/24/2026,10/24/2026,,Rope Smart Arena,,Reno,NV,,Team Roping,Championship,$75+,$75,4 head,Saturday: #3 Roping 4 for $75.,www.actra.org,,,620866612_17950485168081030_5495113013297114303_n.jpg,03/08/2026,Yes
Northwest ACTRA Chapter Finals,,09/25/2026,09/27/2026,,Clark County Saddle Club,11407 NE 174th Circle,Battle Ground,WA,98604,Team Roping,Championship,,,3 days,ACTRA Northwest Chapter Finals. More details to come.,www.actra.org,,,622845520_1416370670534847_7564829420264767597_n.jpg,03/08/2026,Yes
